País,Año,Horas
Philippines,2012,2.49
Brazil,2012,2.41
Colombia,2012,
Nigeria,2012,
Argentina,2012,2.42
Indonesia,2012,2.12
,2012,
UAE,2012,2.21
,2012,
Mexico,2012,2.35
,2012,
South Africa,2012,1.58
,2012,
Egypt,2012,
,2012,
Kenya,2012,
,2012,
Saudi Arabia,2012,2.23
,2012,
Turkey,2012,1.56
,2012,
Ghana,2012,
,2012,
Malaysia,2012,2.39
,2012,
Thailand,2012,1.59
Romania,2012,
,2012,
Russia,2012,1.4
India,2012,1.44
,2012,
Morocco,2012,
,2012,
Vietnam,2012,1.47
,2012,
China,2012,1.19
,2012,
Portugal,2012,
Singapore,2012,1.12
USA,2012,1.22
Hong Kong,2012,1.34
Ireland,2012,
Sweden,2012,1.13
,2012,
Taiwan,2012,1.28
,2012,
UK,2012,1.11
,2012,
Canada,2012,1.12
,2012,
Poland,2012,1.02
,2012,
Italy,2012,1.33
,2012,
Australia,2012,1.15
,2012,
New Zealand,2012,
,2012,
Spain,2012,1.3
,2012,
Denmark,2012,
,2012,
France,2012,1.01
,2012,
,2012,
Belgium,2012,
South Korea,2012,0.47
Netherlands,2012,0.56
,2012,
Switzerland,2012,
,2012,
Austria,2012,
,2012,
Germany,2012,0.58
,2012,
Japan,2012,0.23
Philippines,2013,3.06
Brazil,2013,2.4
Colombia,2013,
Nigeria,2013,
Argentina,2013,2.49
Indonesia,2013,2.21
,2013,
UAE,2013,2.29
,2013,
Mexico,2013,2.5
,2013,
South Africa,2013,2.07
,2013,
Egypt,2013,
,2013,
Kenya,2013,
,2013,
Saudi Arabia,2013,2.18
,2013,
Turkey,2013,2.17
,2013,
Ghana,2013,
,2013,
Malaysia,2013,2.53
,2013,
Thailand,2013,2.34
Romania,2013,
,2013,
Russia,2013,1.46
India,2013,1.57
,2013,
Morocco,2013,
,2013,
Vietnam,2013,1.57
,2013,
China,2013,1.17
,2013,
Portugal,2013,
Singapore,2013,1.29
USA,2013,1.34
Hong Kong,2013,1.26
Ireland,2013,1.24
Sweden,2013,1.13
,2013,
Taiwan,2013,1.3
,2013,
UK,2013,1.14
,2013,
Canada,2013,1.29
,2013,
Poland,2013,1.12
,2013,
Italy,2013,1.49
,2013,
Australia,2013,1.13
,2013,
New Zealand,2013,
,2013,
Spain,2013,1.3
,2013,
Denmark,2013,
,2013,
France,2013,1.05
,2013,
,2013,
Belgium,2013,
South Korea,2013,0.47
Netherlands,2013,0.59
,2013,
Switzerland,2013,
,2013,
Austria,2013,
,2013,
Germany,2013,1.04
,2013,
Japan,2013,0.18
Philippines,2014,3.25
Brazil,2014,2.5
Colombia,2014,
